Description,Type,location,City,price,bedroom,bathroom,floor_area
"For Rent: MyTown Paris Bed Sharing Furnished Unit with Amenities in Pembo, Makati | n...",Condo,Pembo, Makati,8000,1,1,0
For Rent: MyTown Auckland Corporate Staff Housing with Condo-style Amenities in Pinag...,Condo,Pinagkaisahan, Makati,4760,1,1,0
"For Rent: MyTown Amsterdam 4-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd...",Condo,Pitogo, Makati,4760,1,1,0
"For Rent: MyTown Tokyo 4-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd St....",Condo,Pitogo, Makati,4300,1,1,0
Apartment in Makati,Apartment,San Isidro, Makati,27000,2,1,14
"studio type unit in pgrc building, sampaguita st. corner camia st. pembo makati",Building,Pembo, Makati,12000,2,1,20
Makati city dorm and bedspace,Bedspace,Pio Del Pilar, Makati,3745,2,1,20
Clean and affordable Two Bedroom Apartment,Apartment,Pembo, Makati,15000,2,1,20
Condo @ 16k ONLY! Near CBD and MRT,Condo,Bangkal, Makati,16000,2,1,21
Lady Bedspacers Circuit Ayala Mall Makati,Bedspace,Olympia, Makati,3800,2,1,30
"Makati female bedspace for rent (P2,500/month) Available from Dec 19, 2016",Bedspace,Olympia, Makati,3650,2,1,30
"2-Bedroom Apartment for Rent in Pembo, Makati |Walking Distance to Market Market",Apartment,Pembo, Makati,19000,2,1,35
"Apartment for Rent in Makati for 15k. 2 Bedrooms near BGC, The Fort, and Ayala",Apartment,Comembo, Makati,15000,2,1,35
2BR and 1BR Gated-Apartment near BGC,Apartment,Rizal, Makati,10000,2,1,38
2 Bedroom Apartment for rent near BGC Market Market SM Aura McKinley Hill Makati,Apartment,Rizal, Makati,13000,2,1,40
"2 Bedroom Apartment for Rent in West Rembo, Makati, Metro Manila",Apartment,West Rembo, Makati,12000,2,1,42
Apartment in Makati Pio del Pilar 2 Bedroom for Rent,Apartment,Pio Del Pilar, Makati,26000,2,1,42
2 bedroom Apartment in Bangkal Makati for rent,Apartment,Bangkal, Makati,16000,2,1,45
2 Bedroom 1 Toilet and Bath - Makati (maximum 6 persons) for rent,Room,Pio Del Pilar, Makati,18000,2,1,49
"2 Bedroom Apartment For Rent at Bangkal, Makati City, Metro Manila",Apartment,Bangkal, Makati,20000,2,1,50
"Room for Rent, Makati City",Room,Poblacion, Makati,17000,2,1,50
"For Rent unit with parking near BGC, Ortigas Center and Makati City",Condo,Guadalupe Nuevo, Makati,25000,2,1,60
"2 Storey Apartment for Rent in Palanan, Palanan, Makati, Metro Manila",Apartment,Palanan, Makati,30000,2,1,80
2-Small Bedroom Studio Unit Apartment (Makati City),Apartment,San Isidro, Makati,15000,2,1,0
"2-Bedroom Apartment for Lease in Palanan, Makati",Apartment,Palanan, Makati,30000,2,1,0
Solo Room for Ladies and Males in Makati with Free Wifi,Room,East Rembo, Makati,5000,5,1,0
Bedspace For Rent in Makati. Looking For Tenants!,Bedspace,San Isidro, Makati,4000,6,1,35
Bedspace For Rent in Makati. Looking For Tenants!,Bedspace,San Isidro, Makati,4000,6,1,35
Studio Type Dorm for 4 Occupants for Daily Rent at Makati,Apartment,Guadalupe Viejo, Makati,3500,1,2,19
"Makati Bedspacer for Female or Lady (Condominium) at Pio Del Pilar, Makati City",Bedspace,Pio Del Pilar, Makati,5000,1,2,44
Makati Ayala Bedspace For Rent,Bedspace,Pio Del Pilar, Makati,5000,1,2,45
"Makati Dormitory : P3,250/month near BGC & Ayala Avenue",Dormitory,Comembo, Makati,3250,1,2,50
"For rent Dormitory Makati: P2,950/month near McKinley, BGC & The Fort",Dormitory,Rizal, Makati,3000,1,2,50
Apartment For Lease In Makati City,Apartment,Poblacion, Makati,45000,1,2,60
A fully furnished  1 bedroom 80 sqm unit with balcony and parking,Room,San Lorenzo, Makati,98000,1,2,80
"Privacy Female Dormitory in Makati, Near BGC, Ayala",Dormitory,Comembo, Makati,3250,1,2,0
"Privacy Male Dormitory in Makati, near Mckinley, BGC, Ayala",Dormitory,Rizal, Makati,2950,1,2,0
"Free Dormitory in Makati, Near BGC, Ayala",Dormitory,Comembo, Makati,3250,1,2,0
"Free Dormitory in Makati, Near Mckinley, BGC, Ayala",Dormitory,Rizal, Makati,2950,1,2,0
"Privacy Female Dormitory in Makati, Near Mckinley, BGC, Ayala",Dormitory,Rizal, Makati,2950,1,2,0
"Privacy Male Dormitory in Makati, Near BGC, Ayala",Dormitory,Comembo, Makati,3250,1,2,0
Bedspace Capsule type for Rent,Bedspace,Pembo, Makati,3000,1,2,0
"Brand New Flats/Dormitory For Lease in Evangelista, Makati",Flat,Bangkal, Makati,6500,2,2,40
"Condo sharing for men at Cityland, Pio Del Pilar, Makati",Condo,Pio Del Pilar, Makati,3745,2,2,45
"2 Bedroom, 2 CR apartment with 1 carpark  for rent",Apartment,East Rembo, Makati,20000,2,2,50
Newly Constructed 2-Bedroom Apartment for Rent - Makati City,Apartment,San Isidro, Makati,25000,2,2,64
"Apartment Share in Makati w/ Living room, Kitchen, Dining and Laundry Area",Apartment,Valenzuela, Makati,4800,2,2,75
Makati residential/office/storage,Residential,San Antonio, Makati,50000,2,2,75
New Condominium Apartment For Lease With 2 Rooms and Bathrooms,Apartment,Salcedo Village, Makati,85000,2,2,80
2 BR Apartment in San Antonio Village,Apartment,San Antonio, Makati,45000,2,2,80
Newly Renovated 2 bedroom in Poblacion Makati for rent,Room,Poblacion, Makati,38000,2,2,90
Fully-Furnished 2BR Executive  Unit Somerset Olympia Discounted Rate,Condo,Olympia, Makati,100000,2,2,90
For Rent: Newly Renovated 2 Bedroom Apartment in Taguig St. Makati City,Apartment,Valenzuela, Makati,23100,2,2,90
Unit with 2 bed/2 bath. Fully equipped.,Condo,Santa Cruz, Makati,65000,2,2,100
"For rent : 2BR, 2TB w 1CG, walking distance from Circuit Mall, Makati Condo",Condo,Carmona, Makati,22500,2,2,100
Female Bedspace for Rent in Makati,Bedspace,Valenzuela, Makati,4000,2,2,125
Room for Rent in San Antonio Village Makati City,Room,San Antonio, Makati,4500,2,2,0
Bedspace in Makati for Females,Bedspace,Palanan, Makati,3000,3,2,71
For Rent: Newly Renovated 3 Bedroom Apartment in Cardona St. Makati City,Apartment,Poblacion, Makati,30000,3,2,80
2 Floors Apartment in Teresa St. Makati,Apartment,Valenzuela, Makati,80000,3,2,240
Room for Rent Makati Guadalupe Bliss,Room,Cembo, Makati,6000,5,2,0
"2 bedroom apartment with maids quarters in the center of Makati, Saucedo Village",Apartment,Salcedo Village, Makati,60000,2,3,110
2 Bedroom Apartment at Manansala Rockwell Makati Metro Manila For Rent,Apartment,Rockwell, Makati,130000,2,3,116
Female Bedspace near Makati Medical Center and Ayala (Fiber Internet),Bedspace,Pio Del Pilar, Makati,2400,3,3,20
Female Bedspace and Room for Rent in Makati,Bedspace,Pio Del Pilar, Makati,3500,3,3,50
"2 Bedroom Apartment unit for rent in San Lorenzo, Makati",Apartment,San Lorenzo, Makati,90000,3,3,114
For rent Female Bedspace near Makati Medical Center and Ayala Business District,Bedspace,Pio Del Pilar, Makati,2400,3,3,0
"Bedspace for Rent in Poblacion, Makati for male only",Bedspace,Poblacion, Makati,4000,3,3,0
"Bedspace for Rent in Makati near Ayala, Buendia, Pasong Tamo, and Chino Roces",Bedspace,San Antonio, Makati,3000,4,3,130
Makati Room for Rent for ladies only,Room,Tejeros, Makati,4800,1,4,7
"Bedspace in Olympia, Makati  Brand new/Recently renovated Boarding House.",Bedspace,Olympia, Makati,3500,1,4,120
"Dormitory Ideal For Professionals Working at The Fort Bgc, Mckinley Hill and Mak",Dormitory,Pembo, Makati,3100,4,4,50
Lady Bedspace for Rent,Bedspace,Guadalupe Nuevo, Makati,2700,4,5,0
For Rent: Bedspace for women,Bedspace,Guadalupe Nuevo, Makati,2700,4,5,0
"Female Bedspace in Poblacion, Makati City.",Bedspace,Poblacion, Makati,4000,5,5,80
"5 Bedrooms Apartment in Kalayaan Avenue, Makati City",Apartment,South Cembo, Makati,150000,5,5,0
12br Staffhouse in Makati City Nr Walter Mart,Staffhouse,Legazpi Village, Makati,240000,12,6,255
For rent: Building for staff house/ dorm Very close to BGC 550 000 Per Month,Building,Pinagkaisahan, Makati,550000,18,6,79
Newly Constructed Eastrembo Makati Apartment & Rooms for rent,Apartment,East Rembo, Makati,9000,7,7,30
Bedspace in a Secured Community in Makati City,Bedspace,Valenzuela, Makati,3900,10,7,200
"Staff House for Lease in Brgy. Pitogo, Makati City, Metro Manila",House,Pitogo, Makati,150000,9,9,150
Apartment Building for Rent in Makati City (OK for POGO),Apartment,La Paz, Makati,600000,18,18,540
Brand New Whole 5 Storey Apartment Residential Building for Rent in Makati,Apartment,San Antonio, Makati,580000,20,20,1283
Building for rent in Makati (preferably staff house),Building,San Antonio, Makati,480000,22,22,35
Building for Lease in Makati City,Building,Poblacion, Makati,1300000,22,22,300
Ladies Dormitory for Lease in P. Jacito Makati,Dormitory,Pio Del Pilar, Makati,3000,24,24,899
"Residential Building For Rent in Bel-Air, Makati Near Circuit Makati",Building,Bel-Air, Makati,300000,25,26,545
4-Storey Bldg. with 26 rooms in Makati for Rent ideal for Staff House / POGO,Room,Salcedo Village, Makati,500000,26,26,900
Makati Staffhouse Building For Lease,Staffhouse,Carmona, Makati,700000,28,28,0
Apartment For Lease Hostel in Poblacion Makati,Apartment,Poblacion, Makati,1500000,32,32,120
"Rush for Lease: 35-Door Staff House near Circuit Mall, Powerplant Mall in Makati",House,Olympia, Makati,950000,35,35,1100
Whole Apartment Building For Rent in Makati near BGC,Apartment,West Rembo, Makati,1600000,44,44,274
Newly Constructed 6-Storey Building for Lease in Makati - Ideal for Staff House,Building,Pitogo, Makati,800000,47,47,0
Dormitory for Ladies in Makati for Rent,Dormitory,San Antonio, Makati,6000,25,50,15
"7 Storey Dorm building For Lease in Palanan, Makati",Building,Palanan, Makati,1400000,53,54,1905
"6-Storey Dormitory or Staff House Building For Lease in Cembo, Makati Near BGC",Building,Cembo, Makati,2349760,147,147,0
Dormitory in Makati - Room and Bedspace for Rent,Bedspace,Guadalupe Nuevo, Makati,2700,1,0,600
"Room for Rent in Guadalupe Bliss, Makati City",Room,Cembo, Makati,5500,1,0,0
"1 bedroom apartment for rent in Makati Avenue, Makati",Apartment,Makati Avenue, Makati,20000,1,0,0
Condo Sharing/Bedspace The Linear Makati for Male,Bedspace,San Antonio, Makati,6000,1,0,0
Best Budget Hotel in Makati with Seaman's Dormitory,Hotel,Pio Del Pilar, Makati,31875,1,0,0
One bedroom apartment with loft,Apartment,Bangkal, Makati,9000,1,0,0
"Bedspace, Condo Sharing, Room For rent",Bedspace,Pembo, Makati,3800,1,0,0
Bedspace Guadalupe Makati 2-min away MRT,Bedspace,Guadalupe Viejo, Makati,3500,2,0,0
Male and Female Bedspace (Separate boarding house),Bedspace,Guadalupe Nuevo, Makati,2700,2,0,0
dorm bedspace budget hotel quality makati,Bedspace,Palanan, Makati,3700,4,0,0
Bedspace (Ladies Only) For Rent Makati City (Near BGC),Bedspace,Pitogo, Makati,3000,5,0,0
"For Rent Bedspace for Ladies in Poblacion, Makati for as Low as 4,000 Per Month!",Bedspace,Poblacion, Makati,4000,8,0,0
CRD # 80033 Staff House: Building For Lease in Makati City,Building,Valenzuela, Makati,750000,24,0,1200
"Hotel Building for Rent in Poblacion, Makati -DR88999",Building,Poblacion, Makati,1300000,26,0,0
"Hotel for Rent in Poblacion, Makati City - DR88999",Hotel,Poblacion, Makati,1300000,26,0,0
"For Lease RFO Residential Apartments in the heart of Pio del Pilar, Makati City",Apartment,Pio Del Pilar, Makati,400000,33,0,12
For Rent/Lease: Makati City Newly built building,Building,San Lorenzo, Makati,2400000,54,0,864
For Lease: 6-Storey Modern-Looking Dormtel,Dormtel,Guadalupe Nuevo, Makati,1300000,55,0,0
Architecturally designed 2 bedroom apartment in Malvar Batangas,Apartment,Luta Del Norte, Malvar,10000,2,1,60
Fully Furnished Room (Detached) 2nd Floor with Private Bathroom near Boni Ave.,Room,Plainview, Mandaluyong,8900,1,1,10
Lady Bedspacer in Highway Hills (Mandaluyong),Bedspace,Highway Hills, Mandaluyong,2300,1,1,10
"Studio Type Apartment Plainview, Mandaluyong near Boni Avenue for rent",Apartment,Plainview, Mandaluyong,8700,1,1,14
"Room for Rent near Shangrila, Megamall, ADB and Ortigas Area",Room,Highway Hills, Mandaluyong,9500,1,1,14
Bed Space In Premium Condo,Condo,Boni Avenue, Mandaluyong,5600,1,1,16
"Studio Apartment for Rent in Plainview, Mandaluyong",Apartment,Plainview, Mandaluyong,8500,1,1,16
Semi-Furnished Studio for Rent Mandaluyong City Near MRT Shaw (O_BCV_MandLFT01),Apartment,Highway Hills, Mandaluyong,11500,1,1,18
New (2020) Corner Studio For Rent in Mandaluyong Near Edsa Shaw,Apartment,Highway Hills, Mandaluyong,11500,1,1,18
Studio Near Shaw and Ortigas Center for Rent (O_BCV_MandNlft) in Mandaluyong,Apartment,Highway Hills, Mandaluyong,11000,1,1,18
"For Rent Studio unit in Highway Hills, Mandaluyong (Near Ortigas Area)",Apartment,Highway Hills, Mandaluyong,11000,1,1,18
"For Rent Studio unit in Highway Hills, Mandaluyong (Near Ortigas Area)",Apartment,Highway Hills, Mandaluyong,11000,1,1,18
"Studio Unit For Rent at  Brgy. Plainview, Mandaluyong City",Apartment,Plainview, Mandaluyong,7000,1,1,20
Bedspace For Female in Mandaluyong City Near City Hall,Bedspace,Plainview, Mandaluyong,2300,1,1,20
New Studio Apartment Unit @ P10500 monthly,Apartment,Plainview, Mandaluyong,10500,1,1,22
For Rent: New Studio Unit with Parking at P12500,Apartment,Plainview, Mandaluyong,12500,1,1,22
New Corner Studio Unit Apartment for Rent @ P10500 (with aircon),Apartment,Plainview, Mandaluyong,10500,1,1,22
New Studio Unit Apartment for Rent at P10500,Apartment,Plainview, Mandaluyong,10500,1,1,22
For Rent Semi-Furnished Studio in Highway Hills Mandaluyong (near Ortigas),Apartment,Highway Hills, Mandaluyong,11500,1,1,22
Brand New Studio Unit Apartment for Rent at P10500 (All In except water & elec),Apartment,Plainview, Mandaluyong,10500,1,1,22
New Studio Unit Apartment for Rent at P10500,Apartment,Plainview, Mandaluyong,10500,1,1,22
For Rent Studio unit in Mandaluyong City (Near Ortigas Area),Apartment,Highway Hills, Mandaluyong,11000,1,1,22
22 sqm BRAND NEW STUDIO UNIT FOR RENT,Apartment,Plainview, Mandaluyong,11000,1,1,22
22 sqm BRAND NEW STUDIO UNIT FOR RENT,Apartment,Plainview, Mandaluyong,11000,1,1,22
Brand New Studio Unit for Rent @ P10500 monthly,Apartment,Plainview, Mandaluyong,10500,1,1,22
Room for rent in Mandaluyong 16k 1br 23sqm,Room,Shaw Boulevard, Mandaluyong,16000,1,1,23
Posh non-crowded bedspace at a posh condo for ladies,Bedspace,Highway Hills, Mandaluyong,7500,1,1,23
Brand New Apartments in the center of Mandaluyong For Rent,Apartment,Barangka Drive, Mandaluyong,10000,1,1,23
Studio in the heart of Mandaluyong for rent,Apartment,Highway Hills, Mandaluyong,14000,1,1,24
"Studio Apartment for Rent in Plainview, Mandaluyong",Apartment,Plainview, Mandaluyong,9000,1,1,24
"Cityland Grand Central. EDSA, Shaw Blvd, Ortigas Center Condo for Rent",Condo,Shaw Boulevard, Mandaluyong,12600,1,1,25
Brand New 25 sqm Studio Unit for Rent @ P11500,Apartment,Plainview, Mandaluyong,11500,1,1,25
Bed Space for Rent at Avida Centera,Bedspace,Highway Hills, Mandaluyong,5900,1,1,25
New Corner Apartment Studio for Rent at P13500 w/ Car Parking,Apartment,Plainview, Mandaluyong,13500,1,1,25
New Studio Unit Apartment for Rent @ P10500,Apartment,Plainview, Mandaluyong,10500,1,1,25
Newly Built Studio Unit for Rent at P10500,Apartment,Plainview, Mandaluyong,10500,1,1,25
"New Unit - Female Condo Sharing at Zitan Condominium, Mandaluyong City",Condo,Highway Hills, Mandaluyong,5000,1,1,25
New Corner Apartment Studio for Rent at P11500 monthly,Apartment,Plainview, Mandaluyong,11500,1,1,25
Brand New Studio Unit for Rent at P10500,Apartment,Plainview, Mandaluyong,10500,1,1,25
New Corner Studio Unit for Rent @ P11500 (Free Motorcycle Parking),Apartment,Plainview, Mandaluyong,11500,1,1,25
Brand New Studio Unit Apartment for Rent @ P10500,Apartment,Plainview, Mandaluyong,10500,1,1,25
New Corner Apartment Studio Unit For Rent @ P11500,Apartment,Plainview, Mandaluyong,11500,1,1,25
Bedspace for Male Only,Bedspace,Highway Hills, Mandaluyong,3800,1,1,26
Studio Type Apartment in Zitan Greenfield District,Apartment,Highway Hills, Mandaluyong,19000,1,1,26
Bedspace for Males Available in Mandaluyong City,Bedspace,Boni Avenue, Mandaluyong,3700,1,1,30
Apartment for Rent in Mandaluyong,Apartment,Highway Hills, Mandaluyong,12500,1,1,30
Staff House For Rent In Mandaluyong,House,Malamig, Mandaluyong,25000,1,1,30
1BR Loft Type Condo Unit For Rent,Condo,Barangka Ilaya, Mandaluyong,18000,1,1,34
Studio Apartment at Policarpio for Rent,Apartment,New Zañiga, Mandaluyong,14000,1,1,35
"Bedspace for rent Plainview, Mandaluyong, Metro Manila",Bedspace,Plainview, Mandaluyong,3500,1,1,35
"1 Bedroom Apartment near Megamall, Greenfield, and Boni",Apartment,Mauway, Mandaluyong,12000,1,1,35
Bed Space for Rent at Condominium Unit near at Pioneer Robinson Forum,Condo,Highway Hills, Mandaluyong,5300,1,1,36
Condo Male Bed Space & Room Sharing,Room,Plainview, Mandaluyong,3500,1,1,36
Hulo Bliss 38 sqm Apartment ( 10k) near Makati,Apartment,Hulo, Mandaluyong,10000,1,1,38
Cityland Pioneer Condo Sharing/ Bedspace for Females,Bedspace,Highway Hills, Mandaluyong,4000,1,1,39
(Female) Bed space available. (Condo sharing) 6k All-in,Condo,Highway Hills, Mandaluyong,6000,1,1,39
Bed Space for Rent at Gateway Garden Heights beside Pioneer Robinson Forum Mall,Bedspace,Barangka Ilaya, Mandaluyong,5300,1,1,40
Apartment for rent,Apartment,Old Zañiga, Mandaluyong,10000,1,1,40
Condosharing bedspace ortigas mandaluyong boni shaw pioner,Bedspace,Wack-Wack Greenhills, Mandaluyong,4500,1,1,42
1 Bedroom Apartment For Rent in Mandaluyong,Apartment,Old Zañiga, Mandaluyong,13000,1,1,43
Studio Condo unit for Rent (Dorm Type Interior) at Lee Gardens,Apartment,Shaw Boulevard, Mandaluyong,25000,1,1,45
6Beds Ground floor Staff House Bedspace for Rent Lease Mandaluyong Room Co-worki,Bedspace,Old Zañiga, Mandaluyong,27000,1,1,45
"Bedspace For Male in Malamig, Mandaluyong City",Bedspace,Malamig, Mandaluyong,2500,1,1,0
1br - apartment for ladies only,Apartment,Highway Hills, Mandaluyong,10000,1,1,0
"Bedspace for Rent in Hulo, Mandaluyong",Bedspace,Hulo, Mandaluyong,2500,1,1,0
Male Bedspace at California Garden Square for Rent,Bedspace,Highway Hills, Mandaluyong,4250,1,1,0
Capsule type room for rent near Ortigas EDSA Shaw in Mandaluyong,Room,Highway Hills, Mandaluyong,3500,1,1,0
Bedspace for Male for Rent in Mandaluyong,Bedspace,Plainview, Mandaluyong,3700,1,1,0
1 Bedroom Apartment Plainview Mandaluyong,Apartment,Plainview, Mandaluyong,11000,1,1,0
Male Bedspace With Non Aircon Available Across Starmall Edsa Shaw,Bedspace,Highway Hills, Mandaluyong,3600,1,1,0
"Male Bedspace for Rent, Mandaluyong",Bedspace,Plainview, Mandaluyong,3500,1,1,0
Bedspace For Working Male (long term) at RAA bldg,Bedspace,Plainview, Mandaluyong,3700,1,1,0
"Affordable and Budget Apartelle – Room Rentals, Accommodations",Room,Plainview, Mandaluyong,3980,1,1,0
"Bedspace for Rent in Mabini-J. Rizal, Mandaluyong, Metro Manila",Bedspace,Mabini-J. Rizal, Mandaluyong,1500,1,1,0
(Ladies Only) Brand New Semi-Furnished Room For Rent near Shaw blvd,Room,Hagdang Bato Libis, Mandaluyong,18000,1,1,0
Bedspace in fully furnished rooms (4-6 persons) available in Mandaluyong,Bedspace,Highway Hills, Mandaluyong,4000,1,1,0
Bed Space Condo For Male - Urban Deca Tower Shaw,Condo,Highway Hills, Mandaluyong,5500,1,1,0
"Lady Bedspace for Rent, Hulo, Mandaluyong",Bedspace,Hulo, Mandaluyong,2500,1,1,0
Staycation at your cozy room away from home,Room,Highway Hills, Mandaluyong,1500,1,1,0
"Male Bedspace at Bonifacio Residences for Rent, Mandaluyong",Bedspace,Plainview, Mandaluyong,3500,1,1,0
"2BR Apartment for Rent in Plainview, Mandaluyong",Apartment,Plainview, Mandaluyong,20000,2,1,1
Condo room sharing for rent at Suntrust Treetop Villas,Room,Hulo, Mandaluyong,10000,2,1,32
Mandaluyong Condo Share ( Dorm Type),Condo,Barangka Ilaya, Mandaluyong,3500,2,1,35
Bedspace for rent in Sheridan South Tower,Bedspace,Buayang Bato, Mandaluyong,5300,2,1,40
2BR Condo Share Bedspace for Females in SM Light Residences,Bedspace,Barangka Ilaya, Mandaluyong,6500,2,1,43
"2 Bedroom for rent at Plainview, Mandaluyong",Room,Plainview, Mandaluyong,23000,2,1,50
2 bedroom apartment with 1 bathroom,Apartment,Namayan, Mandaluyong,18000,2,1,55
Bedspace for Ladies in Mandaluyong City,Bedspace,Mauway, Mandaluyong,3000,2,1,70
Bedspace in Mandaluyong,Bedspace,Buayang Bato, Mandaluyong,5600,2,1,86
"2 Bedroom Corner Unit in Twin Oaks, Shaw Boulevard",Room,Shaw Boulevard, Mandaluyong,75000,2,1,88
Bedspace in Magtoto Mandaluyong,Bedspace,Old Zañiga, Mandaluyong,3000,1,2,0
Female Bed Space for Rent in Condominium Beside Robinson Forum Mall,Condo,Highway Hills, Mandaluyong,4250,2,2,40
Male Bedspace at GA Tower 2 for rent,Bedspace,Barangka Ilaya, Mandaluyong,2500,2,2,44
Near Boni Station (Megamall) Bedspace for rent,Bedspace,Barangka Ilaya, Mandaluyong,4500,2,2,47
2 Bedroom with 1 car parking in Mandaluyong,Room,New Zañiga, Mandaluyong,25000,2,2,49
"Bed space, condo sharing",Condo,Highway Hills, Mandaluyong,3800,2,2,54
"Condo Sharing / Bedspace at Highway hills, Mandaluyong",Bedspace,Highway Hills, Mandaluyong,4250,2,2,56
Condo Sharing for Females only,Condo,Highway Hills, Mandaluyong,4500,2,2,57
Bed Space for Male Only,Bedspace,Wack-Wack Greenhills, Mandaluyong,6000,2,2,65
condo sharing bed space ortigas mandaluyong  boni shaw pioneer,Condo,Wack-Wack Greenhills, Mandaluyong,5500,2,2,80
Condo Unit in Mandaluyong 2 Bedrooms (Optional: Rent whole unit or one bedroom),Room,Barangka Ilaya, Mandaluyong,15000,2,2,88
Bedspace for rent at California Garden Square,Bedspace,Highway Hills, Mandaluyong,3000,2,2,0
Bedspace for rent at California Garden Square,Bedspace,Highway Hills, Mandaluyong,3000,2,2,0
"Condo for share, Bedspace",Bedspace,Highway Hills, Mandaluyong,7000,3,2,0
2 bedroom with Balcony in Wack Wack Apartments for rent,Apartment,Wack-Wack Greenhills, Mandaluyong,60000,2,3,145
Male Bedspacer - Anneth,Bedspace,Plainview, Mandaluyong,3500,8,3,35
"For Lease Apartment ( staff house ) in Malaya Street, Mandaluyong City",Apartment,Plainview, Mandaluyong,40000,6,4,0
"Female Bedspace for rent in Plainview, Mandaluyong, Metro Manila",Bedspace,Plainview, Mandaluyong,3500,5,5,250
"bedspace for ladies in #9 ong ai gui (formerly queen""s road street)",Bedspace,Highway Hills, Mandaluyong,3500,9,8,150
Bedspacer for Rent,Bedspace,Highway Hills, Mandaluyong,3200,10,8,400
Bedspacer for ladies near MRT Shaw,Bedspace,Highway Hills, Mandaluyong,3200,10,8,400
barangka ilaya mandaluyong city nea edsa and boni avenue House,House,Barangka Ilaya, Mandaluyong,450000,21,21,5
Pogo Staffhouse for Rent in Mandaluyong,Staffhouse,Addition Hills, Mandaluyong,1500000,43,43,1500
Room For Rent Studio Type In Mandaluyong,Room,Boni Avenue, Mandaluyong,6000,1,0,0
"Boni, Mandaluyong - Rosario's Female Dormitory (San Pedro)",Dormitory,Plainview, Mandaluyong,4000,1,0,0
For Rent 2 Bedroom Unit Santiago Residences Mandaluyong,Room,Mabini-J. Rizal, Mandaluyong,11500,2,0,0
"Room for rent in Santa Ana (Sta. Ana) Manila, 1 ride to Makati, Taft, Kalentong",Room,Santa Ana, Manila,2900,1,1,8
2 Beds Capacity Room,Room,Santa Mesa, Manila,4500,1,1,9
1 Bed w/ Table Capacity Room for rent,Room,Santa Mesa, Manila,9000,1,1,9
Apartment/Room for rent (w/ own restroom & air condition),Apartment,Quiapo, Manila,7500,1,1,12
Aurora Place Dormitory For Rent in Agoncillo St. Malate Manila,Dormitory,Malate, Manila,7000,1,1,12
"Room for Rent in Malate, Manila  near Taft (DLSU, St. Scho, PWU, PCU, Adamson)",Room,Malate, Manila,5500,1,1,12
Studio type near UST,Apartment,Sampaloc, Manila,8000,1,1,14
Boarding House - Female Bedspacers at the heart of Manila,Bedspace,Sampaloc, Manila,4950,1,1,14
Residential or Office space along Legarda Street and National Teachers College,Residential,Quiapo, Manila,10000,1,1,14
Studio Unit in San Andres Bukid,Apartment,San Andres, Manila,7800,1,1,15
Studio Type Apartment for Rent (Sampaloc. Near Espana Manila. UST),Apartment,Ermita, Manila,9000,1,1,15
Bedspace For Rent Along Sampaloc Manila!!! (18 Sqm Good For 4 Pax),Bedspace,Sampaloc, Manila,3700,1,1,18
"Studio Type Bedroom For Rent (San Andres Bukid, Corner Makati)",Room,San Andres, Manila,9000,1,1,18
"Male Bedspace at Amaia Skies Avenida, Sta. Cruz, Manila",Bedspace,Santa Cruz, Manila,2500,1,1,18
"1 Bedroom Apartment unit for rent at San Andres Street ,Malate, Manila City",Apartment,Malate, Manila,8500,1,1,18
Fully Furnished Room for Rent,Room,Sampaloc, Manila,15000,1,1,18
"Semi-Furnish 1 bedroom Apartment for Rent  in Sta. Ana, Manila",Apartment,Santa Ana, Manila,12500,1,1,18
BedSpace in front of UST and near in University Belt (Female),Bedspace,Sampaloc, Manila,4950,1,1,19
"Room for Rent in Malate near DLSU, Benilde, St. Scho, Rob",Room,Malate, Manila,10000,1,1,20
España De Residencia Bedspace for Rent,Bedspace,Sampaloc, Manila,3000,1,1,20
Apartment for Rent in Sampaloc Manila Lacson Espana Dapitan UST Maceda Eddie Co,Apartment,Sampaloc, Manila,8000,1,1,20
Apartment for Rent in Sampaloc Manila Lacson Espana Dapitan UST Maceda Eddie Co,Apartment,Sampaloc, Manila,8000,1,1,20
Palmera Residences Studio Unit For Rent in Sampaloc Manila,Apartment,Sampaloc, Manila,7630,1,1,20
"20 sqm Room in Paco for Rent, Manila",Room,Paco, Manila,8250,1,1,20
M-Residences Dormitory For Rent,Dormitory,Sampaloc, Manila,4950,1,1,20
"Apartment For Rent in amon Magsaysay Boulevard, Sta. Mesa, Manila",Apartment,Santa Mesa, Manila,8500,1,1,20
Studio Type/ Dormitory For Rent at 505 Residences,Apartment,San Miguel, Manila,17000,1,1,20
M-Residences Dormitory For Rent,Dormitory,Sampaloc, Manila,4950,1,1,20
Brand New Condo at the Silk Residences Manila for sharing,Condo,Santa Mesa, Manila,24000,1,1,21
"Affordable Studio Type Apartment in San Andres, Manila, Metro Manila",Apartment,San Andres, Manila,11000,1,1,21
Apartment for Rent in Manila Sampaloc Dapitan Lacson Espana UST FEU Eddie Co,Apartment,Sampaloc, Manila,8000,1,1,22
Amaia Sta. Mesa Bedspace for Rent,Bedspace,Santa Mesa, Manila,4500,1,1,22
"Studio Type Room For Rent (Near Espana, UST, Recto, Ubelt and Makati)",Room,Sampaloc, Manila,10000,1,1,22
Bedspace For Rent Manila,Bedspace,Tondo, Manila,3650,1,1,23
