,Description,Type,location,City,price,bedroom,bathroom,floor_area
266,Apartment in Makati,Apartment,San Isidro,Makati,27000,2,1,14
267,"studio type unit in pgrc building, sampaguita st. corner camia st. pembo makati",Building,Pembo,Makati,12000,2,1,20
268,Makati city dorm and bedspace,Bedspace,Pio Del Pilar,Makati,3745,2,1,20
269,Clean and affordable Two Bedroom Apartment,Apartment,Pembo,Makati,15000,2,1,20
270,Condo @ 16k ONLY! Near CBD and MRT,Condo,Bangkal,Makati,16000,2,1,21
271,Lady Bedspacers Circuit Ayala Mall Makati,Bedspace,Olympia,Makati,3800,2,1,30
272,"Makati female bedspace for rent (P2,500/month) Available from Dec 19, 2016",Bedspace,Olympia,Makati,3650,2,1,30
273,"2-Bedroom Apartment for Rent in Pembo, Makati |Walking Distance to Market Market",Apartment,Pembo,Makati,19000,2,1,35
274,"Apartment for Rent in Makati for 15k. 2 Bedrooms near BGC, The Fort, and Ayala",Apartment,Comembo,Makati,15000,2,1,35
275,2BR and 1BR Gated-Apartment near BGC,Apartment,Rizal,Makati,10000,2,1,38
276,2 Bedroom Apartment for rent near BGC Market Market SM Aura McKinley Hill Makati,Apartment,Rizal,Makati,13000,2,1,40
277,"2 Bedroom Apartment for Rent in West Rembo, Makati, Metro Manila",Apartment,West Rembo,Makati,12000,2,1,42
278,Apartment in Makati Pio del Pilar 2 Bedroom for Rent,Apartment,Pio Del Pilar,Makati,26000,2,1,42
279,2 bedroom Apartment in Bangkal Makati for rent,Apartment,Bangkal,Makati,16000,2,1,45
280,2 Bedroom 1 Toilet and Bath - Makati (maximum 6 persons) for rent,Room,Pio Del Pilar,Makati,18000,2,1,49
281,"2 Bedroom Apartment For Rent at Bangkal, Makati City, Metro Manila",Apartment,Bangkal,Makati,20000,2,1,50
282,"Room for Rent, Makati City",Room,Poblacion,Makati,17000,2,1,50
283,"For Rent unit with parking near BGC, Ortigas Center and Makati City",Condo,Guadalupe Nuevo,Makati,25000,2,1,60
284,"2 Storey Apartment for Rent in Palanan, Palanan, Makati, Metro Manila",Apartment,Palanan,Makati,30000,2,1,80
285,2-Small Bedroom Studio Unit Apartment (Makati City),Apartment,San Isidro,Makati,15000,2,1,0
286,"2-Bedroom Apartment for Lease in Palanan, Makati",Apartment,Palanan,Makati,30000,2,1,0
287,Solo Room for Ladies and Males in Makati with Free Wifi,Room,East Rembo,Makati,5000,5,1,0
288,Bedspace For Rent in Makati. Looking For Tenants!,Bedspace,San Isidro,Makati,4000,6,1,35
289,Bedspace For Rent in Makati. Looking For Tenants!,Bedspace,San Isidro,Makati,4000,6,1,35
290,Studio Type Dorm for 4 Occupants for Daily Rent at Makati,Apartment,Guadalupe Viejo,Makati,3500,1,2,19
291,"Makati Bedspacer for Female or Lady (Condominium) at Pio Del Pilar, Makati City",Bedspace,Pio Del Pilar,Makati,5000,1,2,44
292,Makati Ayala Bedspace For Rent,Bedspace,Pio Del Pilar,Makati,5000,1,2,45
293,"Makati Dormitory : P3,250/month near BGC & Ayala Avenue",Dormitory,Comembo,Makati,3250,1,2,50
294,"For rent Dormitory Makati: P2,950/month near McKinley, BGC & The Fort",Dormitory,Rizal,Makati,3000,1,2,50
297,"Privacy Female Dormitory in Makati, Near BGC, Ayala",Dormitory,Comembo,Makati,3250,1,2,0
298,"Privacy Male Dormitory in Makati, near Mckinley, BGC, Ayala",Dormitory,Rizal,Makati,2950,1,2,0
299,"Free Dormitory in Makati, Near BGC, Ayala",Dormitory,Comembo,Makati,3250,1,2,0
300,"Free Dormitory in Makati, Near Mckinley, BGC, Ayala",Dormitory,Rizal,Makati,2950,1,2,0
301,"Privacy Female Dormitory in Makati, Near Mckinley, BGC, Ayala",Dormitory,Rizal,Makati,2950,1,2,0
302,"Privacy Male Dormitory in Makati, Near BGC, Ayala",Dormitory,Comembo,Makati,3250,1,2,0
303,Bedspace Capsule type for Rent,Bedspace,Pembo,Makati,3000,1,2,0
304,"Brand New Flats/Dormitory For Lease in Evangelista, Makati",Flat,Bangkal,Makati,6500,2,2,40
305,"Condo sharing for men at Cityland, Pio Del Pilar, Makati",Condo,Pio Del Pilar,Makati,3745,2,2,45
306,"2 Bedroom, 2 CR apartment with 1 carpark  for rent",Apartment,East Rembo,Makati,20000,2,2,50
307,Newly Constructed 2-Bedroom Apartment for Rent - Makati City,Apartment,San Isidro,Makati,25000,2,2,64
308,"Apartment Share in Makati w/ Living room, Kitchen, Dining and Laundry Area",Apartment,Valenzuela,Makati,4800,2,2,75
314,For Rent: Newly Renovated 2 Bedroom Apartment in Taguig St. Makati City,Apartment,Valenzuela,Makati,23100,2,2,90
316,"For rent : 2BR, 2TB w 1CG, walking distance from Circuit Mall, Makati Condo",Condo,Carmona,Makati,22500,2,2,100
317,Female Bedspace for Rent in Makati,Bedspace,Valenzuela,Makati,4000,2,2,125
318,Room for Rent in San Antonio Village Makati City,Room,San Antonio,Makati,4500,2,2,0
319,Bedspace in Makati for Females,Bedspace,Palanan,Makati,3000,3,2,71
320,For Rent: Newly Renovated 3 Bedroom Apartment in Cardona St. Makati City,Apartment,Poblacion,Makati,30000,3,2,80
322,Room for Rent Makati Guadalupe Bliss,Room,Cembo,Makati,6000,5,2,0
325,Female Bedspace near Makati Medical Center and Ayala (Fiber Internet),Bedspace,Pio Del Pilar,Makati,2400,3,3,20
326,Female Bedspace and Room for Rent in Makati,Bedspace,Pio Del Pilar,Makati,3500,3,3,50
328,For rent Female Bedspace near Makati Medical Center and Ayala Business District,Bedspace,Pio Del Pilar,Makati,2400,3,3,0
329,"Bedspace for Rent in Poblacion, Makati for male only",Bedspace,Poblacion,Makati,4000,3,3,0
330,"Bedspace for Rent in Makati near Ayala, Buendia, Pasong Tamo, and Chino Roces",Bedspace,San Antonio,Makati,3000,4,3,130
331,Makati Room for Rent for ladies only,Room,Tejeros,Makati,4800,1,4,7
332,"Bedspace in Olympia, Makati  Brand new/Recently renovated Boarding House.",Bedspace,Olympia,Makati,3500,1,4,120
333,"Dormitory Ideal For Professionals Working at The Fort Bgc, Mckinley Hill and Mak",Dormitory,Pembo,Makati,3100,4,4,50
334,Lady Bedspace for Rent,Bedspace,Guadalupe Nuevo,Makati,2700,4,5,0
335,For Rent: Bedspace for women,Bedspace,Guadalupe Nuevo,Makati,2700,4,5,0
336,"Female Bedspace in Poblacion, Makati City.",Bedspace,Poblacion,Makati,4000,5,5,80
340,Newly Constructed Eastrembo Makati Apartment & Rooms for rent,Apartment,East Rembo,Makati,9000,7,7,30
341,Bedspace in a Secured Community in Makati City,Bedspace,Valenzuela,Makati,3900,10,7,200
347,Ladies Dormitory for Lease in P. Jacito Makati,Dormitory,Pio Del Pilar,Makati,3000,24,24,899
355,Dormitory for Ladies in Makati for Rent,Dormitory,San Antonio,Makati,6000,25,50,15
358,Dormitory in Makati - Room and Bedspace for Rent,Bedspace,Guadalupe Nuevo,Makati,2700,1,0,600
359,"Room for Rent in Guadalupe Bliss, Makati City",Room,Cembo,Makati,5500,1,0,0
360,"1 bedroom apartment for rent in Makati Avenue, Makati",Apartment,Makati Avenue,Makati,20000,1,0,0
361,Condo Sharing/Bedspace The Linear Makati for Male,Bedspace,San Antonio,Makati,6000,1,0,0
363,One bedroom apartment with loft,Apartment,Bangkal,Makati,9000,1,0,0
364,"Bedspace, Condo Sharing, Room For rent",Bedspace,Pembo,Makati,3800,1,0,0
365,Bedspace Guadalupe Makati 2-min away MRT,Bedspace,Guadalupe Viejo,Makati,3500,2,0,0
366,Male and Female Bedspace (Separate boarding house),Bedspace,Guadalupe Nuevo,Makati,2700,2,0,0
367,dorm bedspace budget hotel quality makati,Bedspace,Palanan,Makati,3700,4,0,0
368,Bedspace (Ladies Only) For Rent Makati City (Near BGC),Bedspace,Pitogo,Makati,3000,5,0,0
369,"For Rent Bedspace for Ladies in Poblacion, Makati for as Low as 4,000 Per Month!",Bedspace,Poblacion,Makati,4000,8,0,0
376,Architecturally designed 2 bedroom apartment in Malvar Batangas,Apartment,Luta Del Norte,Malvar,10000,2,1,60
377,Fully Furnished Room (Detached) 2nd Floor with Private Bathroom near Boni Ave.,Room,Plainview,Mandaluyong,8900,1,1,10
378,Lady Bedspacer in Highway Hills (Mandaluyong),Bedspace,Highway Hills,Mandaluyong,2300,1,1,10
379,"Studio Type Apartment Plainview, Mandaluyong near Boni Avenue for rent",Apartment,Plainview,Mandaluyong,8700,1,1,14
380,"Room for Rent near Shangrila, Megamall, ADB and Ortigas Area",Room,Highway Hills,Mandaluyong,9500,1,1,14
381,Bed Space In Premium Condo,Condo,Boni Avenue,Mandaluyong,5600,1,1,16
382,"Studio Apartment for Rent in Plainview, Mandaluyong",Apartment,Plainview,Mandaluyong,8500,1,1,16
383,Semi-Furnished Studio for Rent Mandaluyong City Near MRT Shaw (O_BCV_MandLFT01),Apartment,Highway Hills,Mandaluyong,11500,1,1,18
384,New (2020) Corner Studio For Rent in Mandaluyong Near Edsa Shaw,Apartment,Highway Hills,Mandaluyong,11500,1,1,18
385,Studio Near Shaw and Ortigas Center for Rent (O_BCV_MandNlft) in Mandaluyong,Apartment,Highway Hills,Mandaluyong,11000,1,1,18
386,"For Rent Studio unit in Highway Hills, Mandaluyong (Near Ortigas Area)",Apartment,Highway Hills,Mandaluyong,11000,1,1,18
387,"For Rent Studio unit in Highway Hills, Mandaluyong (Near Ortigas Area)",Apartment,Highway Hills,Mandaluyong,11000,1,1,18
388,"Studio Unit For Rent at  Brgy. Plainview, Mandaluyong City",Apartment,Plainview,Mandaluyong,7000,1,1,20
389,Bedspace For Female in Mandaluyong City Near City Hall,Bedspace,Plainview,Mandaluyong,2300,1,1,20
390,New Studio Apartment Unit @ P10500 monthly,Apartment,Plainview,Mandaluyong,10500,1,1,22
391,For Rent: New Studio Unit with Parking at P12500,Apartment,Plainview,Mandaluyong,12500,1,1,22
392,New Corner Studio Unit Apartment for Rent @ P10500 (with aircon),Apartment,Plainview,Mandaluyong,10500,1,1,22
393,New Studio Unit Apartment for Rent at P10500,Apartment,Plainview,Mandaluyong,10500,1,1,22
394,For Rent Semi-Furnished Studio in Highway Hills Mandaluyong (near Ortigas),Apartment,Highway Hills,Mandaluyong,11500,1,1,22
395,Brand New Studio Unit Apartment for Rent at P10500 (All In except water & elec),Apartment,Plainview,Mandaluyong,10500,1,1,22
396,New Studio Unit Apartment for Rent at P10500,Apartment,Plainview,Mandaluyong,10500,1,1,22
397,For Rent Studio unit in Mandaluyong City (Near Ortigas Area),Apartment,Highway Hills,Mandaluyong,11000,1,1,22
398,22 sqm BRAND NEW STUDIO UNIT FOR RENT,Apartment,Plainview,Mandaluyong,11000,1,1,22
399,22 sqm BRAND NEW STUDIO UNIT FOR RENT,Apartment,Plainview,Mandaluyong,11000,1,1,22
400,Brand New Studio Unit for Rent @ P10500 monthly,Apartment,Plainview,Mandaluyong,10500,1,1,22
401,Room for rent in Mandaluyong 16k 1br 23sqm,Room,Shaw Boulevard,Mandaluyong,16000,1,1,23
402,Posh non-crowded bedspace at a posh condo for ladies,Bedspace,Highway Hills,Mandaluyong,7500,1,1,23
403,Brand New Apartments in the center of Mandaluyong For Rent,Apartment,Barangka Drive,Mandaluyong,10000,1,1,23
404,Studio in the heart of Mandaluyong for rent,Apartment,Highway Hills,Mandaluyong,14000,1,1,24
405,"Studio Apartment for Rent in Plainview, Mandaluyong",Apartment,Plainview,Mandaluyong,9000,1,1,24
406,"Cityland Grand Central. EDSA, Shaw Blvd, Ortigas Center Condo for Rent",Condo,Shaw Boulevard,Mandaluyong,12600,1,1,25
407,Brand New 25 sqm Studio Unit for Rent @ P11500,Apartment,Plainview,Mandaluyong,11500,1,1,25
408,Bed Space for Rent at Avida Centera,Bedspace,Highway Hills,Mandaluyong,5900,1,1,25
409,New Corner Apartment Studio for Rent at P13500 w/ Car Parking,Apartment,Plainview,Mandaluyong,13500,1,1,25
410,New Studio Unit Apartment for Rent @ P10500,Apartment,Plainview,Mandaluyong,10500,1,1,25
411,Newly Built Studio Unit for Rent at P10500,Apartment,Plainview,Mandaluyong,10500,1,1,25
412,"New Unit - Female Condo Sharing at Zitan Condominium, Mandaluyong City",Condo,Highway Hills,Mandaluyong,5000,1,1,25
413,New Corner Apartment Studio for Rent at P11500 monthly,Apartment,Plainview,Mandaluyong,11500,1,1,25
414,Brand New Studio Unit for Rent at P10500,Apartment,Plainview,Mandaluyong,10500,1,1,25
415,New Corner Studio Unit for Rent @ P11500 (Free Motorcycle Parking),Apartment,Plainview,Mandaluyong,11500,1,1,25
416,Brand New Studio Unit Apartment for Rent @ P10500,Apartment,Plainview,Mandaluyong,10500,1,1,25
417,New Corner Apartment Studio Unit For Rent @ P11500,Apartment,Plainview,Mandaluyong,11500,1,1,25
418,Bedspace for Male Only,Bedspace,Highway Hills,Mandaluyong,3800,1,1,26
419,Studio Type Apartment in Zitan Greenfield District,Apartment,Highway Hills,Mandaluyong,19000,1,1,26
420,Bedspace for Males Available in Mandaluyong City,Bedspace,Boni Avenue,Mandaluyong,3700,1,1,30
421,Apartment for Rent in Mandaluyong,Apartment,Highway Hills,Mandaluyong,12500,1,1,30
422,Staff House For Rent In Mandaluyong,House,Malamig,Mandaluyong,25000,1,1,30
423,1BR Loft Type Condo Unit For Rent,Condo,Barangka Ilaya,Mandaluyong,18000,1,1,34
424,Studio Apartment at Policarpio for Rent,Apartment,New Zañiga,Mandaluyong,14000,1,1,35
425,"Bedspace for rent Plainview, Mandaluyong, Metro Manila",Bedspace,Plainview,Mandaluyong,3500,1,1,35
426,"1 Bedroom Apartment near Megamall, Greenfield, and Boni",Apartment,Mauway,Mandaluyong,12000,1,1,35
427,Bed Space for Rent at Condominium Unit near at Pioneer Robinson Forum,Condo,Highway Hills,Mandaluyong,5300,1,1,36
428,Condo Male Bed Space & Room Sharing,Room,Plainview,Mandaluyong,3500,1,1,36
429,Hulo Bliss 38 sqm Apartment ( 10k) near Makati,Apartment,Hulo,Mandaluyong,10000,1,1,38
430,Cityland Pioneer Condo Sharing/ Bedspace for Females,Bedspace,Highway Hills,Mandaluyong,4000,1,1,39
431,(Female) Bed space available. (Condo sharing) 6k All-in,Condo,Highway Hills,Mandaluyong,6000,1,1,39
432,Bed Space for Rent at Gateway Garden Heights beside Pioneer Robinson Forum Mall,Bedspace,Barangka Ilaya,Mandaluyong,5300,1,1,40
433,Apartment for rent,Apartment,Old Zañiga,Mandaluyong,10000,1,1,40
434,Condosharing bedspace ortigas mandaluyong boni shaw pioner,Bedspace,Wack-Wack Greenhills,Mandaluyong,4500,1,1,42
435,1 Bedroom Apartment For Rent in Mandaluyong,Apartment,Old Zañiga,Mandaluyong,13000,1,1,43
436,Studio Condo unit for Rent (Dorm Type Interior) at Lee Gardens,Apartment,Shaw Boulevard,Mandaluyong,25000,1,1,45
437,6Beds Ground floor Staff House Bedspace for Rent Lease Mandaluyong Room Co-worki,Bedspace,Old Zañiga,Mandaluyong,27000,1,1,45
438,"Bedspace For Male in Malamig, Mandaluyong City",Bedspace,Malamig,Mandaluyong,2500,1,1,0
439,1br - apartment for ladies only,Apartment,Highway Hills,Mandaluyong,10000,1,1,0
440,"Bedspace for Rent in Hulo, Mandaluyong",Bedspace,Hulo,Mandaluyong,2500,1,1,0
441,Male Bedspace at California Garden Square for Rent,Bedspace,Highway Hills,Mandaluyong,4250,1,1,0
442,Capsule type room for rent near Ortigas EDSA Shaw in Mandaluyong,Room,Highway Hills,Mandaluyong,3500,1,1,0
443,Bedspace for Male for Rent in Mandaluyong,Bedspace,Plainview,Mandaluyong,3700,1,1,0
444,1 Bedroom Apartment Plainview Mandaluyong,Apartment,Plainview,Mandaluyong,11000,1,1,0
445,Male Bedspace With Non Aircon Available Across Starmall Edsa Shaw,Bedspace,Highway Hills,Mandaluyong,3600,1,1,0
446,"Male Bedspace for Rent, Mandaluyong",Bedspace,Plainview,Mandaluyong,3500,1,1,0
447,Bedspace For Working Male (long term) at RAA bldg,Bedspace,Plainview,Mandaluyong,3700,1,1,0
448,"Affordable and Budget Apartelle – Room Rentals, Accommodations",Room,Plainview,Mandaluyong,3980,1,1,0
449,"Bedspace for Rent in Mabini-J. Rizal, Mandaluyong, Metro Manila",Bedspace,Mabini-J. Rizal,Mandaluyong,1500,1,1,0
450,(Ladies Only) Brand New Semi-Furnished Room For Rent near Shaw blvd,Room,Hagdang Bato Libis,Mandaluyong,18000,1,1,0
451,Bedspace in fully furnished rooms (4-6 persons) available in Mandaluyong,Bedspace,Highway Hills,Mandaluyong,4000,1,1,0
452,Bed Space Condo For Male - Urban Deca Tower Shaw,Condo,Highway Hills,Mandaluyong,5500,1,1,0
453,"Lady Bedspace for Rent, Hulo, Mandaluyong",Bedspace,Hulo,Mandaluyong,2500,1,1,0
454,Staycation at your cozy room away from home,Room,Highway Hills,Mandaluyong,1500,1,1,0
455,"Male Bedspace at Bonifacio Residences for Rent, Mandaluyong",Bedspace,Plainview,Mandaluyong,3500,1,1,0
456,"2BR Apartment for Rent in Plainview, Mandaluyong",Apartment,Plainview,Mandaluyong,20000,2,1,1
457,Condo room sharing for rent at Suntrust Treetop Villas,Room,Hulo,Mandaluyong,10000,2,1,32
458,Mandaluyong Condo Share ( Dorm Type),Condo,Barangka Ilaya,Mandaluyong,3500,2,1,35
459,Bedspace for rent in Sheridan South Tower,Bedspace,Buayang Bato,Mandaluyong,5300,2,1,40
460,2BR Condo Share Bedspace for Females in SM Light Residences,Bedspace,Barangka Ilaya,Mandaluyong,6500,2,1,43
461,"2 Bedroom for rent at Plainview, Mandaluyong",Room,Plainview,Mandaluyong,23000,2,1,50
462,2 bedroom apartment with 1 bathroom,Apartment,Namayan,Mandaluyong,18000,2,1,55
463,Bedspace for Ladies in Mandaluyong City,Bedspace,Mauway,Mandaluyong,3000,2,1,70
464,Bedspace in Mandaluyong,Bedspace,Buayang Bato,Mandaluyong,5600,2,1,86
466,Bedspace in Magtoto Mandaluyong,Bedspace,Old Zañiga,Mandaluyong,3000,1,2,0
467,Female Bed Space for Rent in Condominium Beside Robinson Forum Mall,Condo,Highway Hills,Mandaluyong,4250,2,2,40
468,Male Bedspace at GA Tower 2 for rent,Bedspace,Barangka Ilaya,Mandaluyong,2500,2,2,44
469,Near Boni Station (Megamall) Bedspace for rent,Bedspace,Barangka Ilaya,Mandaluyong,4500,2,2,47
470,2 Bedroom with 1 car parking in Mandaluyong,Room,New Zañiga,Mandaluyong,25000,2,2,49
471,"Bed space, condo sharing",Condo,Highway Hills,Mandaluyong,3800,2,2,54
472,"Condo Sharing / Bedspace at Highway hills, Mandaluyong",Bedspace,Highway Hills,Mandaluyong,4250,2,2,56
473,Condo Sharing for Females only,Condo,Highway Hills,Mandaluyong,4500,2,2,57
474,Bed Space for Male Only,Bedspace,Wack-Wack Greenhills,Mandaluyong,6000,2,2,65
475,condo sharing bed space ortigas mandaluyong  boni shaw pioneer,Condo,Wack-Wack Greenhills,Mandaluyong,5500,2,2,80
476,Condo Unit in Mandaluyong 2 Bedrooms (Optional: Rent whole unit or one bedroom),Room,Barangka Ilaya,Mandaluyong,15000,2,2,88
477,Bedspace for rent at California Garden Square,Bedspace,Highway Hills,Mandaluyong,3000,2,2,0
478,Bedspace for rent at California Garden Square,Bedspace,Highway Hills,Mandaluyong,3000,2,2,0
479,"Condo for share, Bedspace",Bedspace,Highway Hills,Mandaluyong,7000,3,2,0
481,Male Bedspacer - Anneth,Bedspace,Plainview,Mandaluyong,3500,8,3,35
483,"Female Bedspace for rent in Plainview, Mandaluyong, Metro Manila",Bedspace,Plainview,Mandaluyong,3500,5,5,250
484,"bedspace for ladies in #9 ong ai gui (formerly queen""s road street)",Bedspace,Highway Hills,Mandaluyong,3500,9,8,150
485,Bedspacer for Rent,Bedspace,Highway Hills,Mandaluyong,3200,10,8,400
486,Bedspacer for ladies near MRT Shaw,Bedspace,Highway Hills,Mandaluyong,3200,10,8,400
489,Room For Rent Studio Type In Mandaluyong,Room,Boni Avenue,Mandaluyong,6000,1,0,0
490,"Boni, Mandaluyong - Rosario's Female Dormitory (San Pedro)",Dormitory,Plainview,Mandaluyong,4000,1,0,0
491,For Rent 2 Bedroom Unit Santiago Residences Mandaluyong,Room,Mabini-J. Rizal,Mandaluyong,11500,2,0,0
492,"Room for rent in Santa Ana (Sta. Ana) Manila, 1 ride to Makati, Taft, Kalentong",Room,Santa Ana,Manila,2900,1,1,8
493,2 Beds Capacity Room,Room,Santa Mesa,Manila,4500,1,1,9
494,1 Bed w/ Table Capacity Room for rent,Room,Santa Mesa,Manila,9000,1,1,9
495,Apartment/Room for rent (w/ own restroom & air condition),Apartment,Quiapo,Manila,7500,1,1,12
496,Aurora Place Dormitory For Rent in Agoncillo St. Malate Manila,Dormitory,Malate,Manila,7000,1,1,12
497,"Room for Rent in Malate, Manila  near Taft (DLSU, St. Scho, PWU, PCU, Adamson)",Room,Malate,Manila,5500,1,1,12
498,Studio type near UST,Apartment,Sampaloc,Manila,8000,1,1,14
499,Boarding House - Female Bedspacers at the heart of Manila,Bedspace,Sampaloc,Manila,4950,1,1,14
500,Residential or Office space along Legarda Street and National Teachers College,Residential,Quiapo,Manila,10000,1,1,14
501,Studio Unit in San Andres Bukid,Apartment,San Andres,Manila,7800,1,1,15
502,Studio Type Apartment for Rent (Sampaloc. Near Espana Manila. UST),Apartment,Ermita,Manila,9000,1,1,15
503,Bedspace For Rent Along Sampaloc Manila!!! (18 Sqm Good For 4 Pax),Bedspace,Sampaloc,Manila,3700,1,1,18
504,"Studio Type Bedroom For Rent (San Andres Bukid, Corner Makati)",Room,San Andres,Manila,9000,1,1,18
505,"Male Bedspace at Amaia Skies Avenida, Sta. Cruz, Manila",Bedspace,Santa Cruz,Manila,2500,1,1,18
506,"1 Bedroom Apartment unit for rent at San Andres Street ,Malate, Manila City",Apartment,Malate,Manila,8500,1,1,18
507,Fully Furnished Room for Rent,Room,Sampaloc,Manila,15000,1,1,18
508,"Semi-Furnish 1 bedroom Apartment for Rent  in Sta. Ana, Manila",Apartment,Santa Ana,Manila,12500,1,1,18
509,BedSpace in front of UST and near in University Belt (Female),Bedspace,Sampaloc,Manila,4950,1,1,19
510,"Room for Rent in Malate near DLSU, Benilde, St. Scho, Rob",Room,Malate,Manila,10000,1,1,20
511,España De Residencia Bedspace for Rent,Bedspace,Sampaloc,Manila,3000,1,1,20
512,Apartment for Rent in Sampaloc Manila Lacson Espana Dapitan UST Maceda Eddie Co,Apartment,Sampaloc,Manila,8000,1,1,20
513,Apartment for Rent in Sampaloc Manila Lacson Espana Dapitan UST Maceda Eddie Co,Apartment,Sampaloc,Manila,8000,1,1,20
514,Palmera Residences Studio Unit For Rent in Sampaloc Manila,Apartment,Sampaloc,Manila,7630,1,1,20
515,"20 sqm Room in Paco for Rent, Manila",Room,Paco,Manila,8250,1,1,20
516,M-Residences Dormitory For Rent,Dormitory,Sampaloc,Manila,4950,1,1,20
517,"Apartment For Rent in amon Magsaysay Boulevard, Sta. Mesa, Manila",Apartment,Santa Mesa,Manila,8500,1,1,20
518,Studio Type/ Dormitory For Rent at 505 Residences,Apartment,San Miguel,Manila,17000,1,1,20
519,M-Residences Dormitory For Rent,Dormitory,Sampaloc,Manila,4950,1,1,20
520,Brand New Condo at the Silk Residences Manila for sharing,Condo,Santa Mesa,Manila,24000,1,1,21
521,"Affordable Studio Type Apartment in San Andres, Manila, Metro Manila",Apartment,San Andres,Manila,11000,1,1,21
522,Apartment for Rent in Manila Sampaloc Dapitan Lacson Espana UST FEU Eddie Co,Apartment,Sampaloc,Manila,8000,1,1,22
523,Amaia Sta. Mesa Bedspace for Rent,Bedspace,Santa Mesa,Manila,4500,1,1,22
524,"Studio Type Room For Rent (Near Espana, UST, Recto, Ubelt and Makati)",Room,Sampaloc,Manila,10000,1,1,22
525,Bedspace For Rent Manila,Bedspace,Tondo,Manila,3650,1,1,23
526,Condo Sharing Manila for rent,Condo,Santa Ana,Manila,3450,1,1,23
527,Great Clean and Safe Studio near DLSU,Apartment,Malate,Manila,13000,1,1,24
528,"1 Bedroom Apartment for rent in Ermita, Metro Manila",Apartment,Ermita,Manila,25000,1,1,24
529,"Studio Apartment for Rent in Dapitan, Sampaloc, Manila City",Apartment,Sampaloc,Manila,8000,1,1,25
530,Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8000,1,1,25
531,Studio type unit for rent in Vito Cruz Manila,Apartment,Santa Cruz,Manila,12000,1,1,25
532,Condo Bedspace for Rent at Grand Residences España 2,Bedspace,Sampaloc,Manila,5000,1,1,25
533,"Malate Apartment for Rent Studio Type in Manila 10,500 pesos only",Apartment,Malate,Manila,10500,1,1,25
534,Condo Bedspace for Rent in Manila near UST Now 5k!! - Open for Agents,Bedspace,Sampaloc,Manila,5000,1,1,25
535,Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8000,1,1,25
536,Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8000,1,1,25
537,Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8000,1,1,25
538,1 BR. Apartment for Rent near St. Scholastica and DLSU,Apartment,Malate,Manila,12400,1,1,30
539,Apartment for Rent in Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8500,1,1,30
541,Studio Type Apartment for rent,Apartment,Santa Ana,Manila,13000,1,1,30
542,Bedspace for Female in Manila Rivercity Residences,Bedspace,Santa Ana,Manila,2200,1,1,30
543,Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8000,1,1,30
544,1 BEDROOM FOR RENT,Room,Santa Ana,Manila,10500,1,1,30
545,1 BR. Apartment for Rent near St. Scho and DLSU,Apartment,Malate,Manila,10500,1,1,30
546,Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,8000,1,1,30
547,"Male Bedspace with free wifi for rent in Quiapo, Manila, Metro Manila",Bedspace,Quiapo,Manila,3500,1,1,33
548,1 bedroom Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,11000,1,1,35
549,"1 Bedroom Apartment Unit for Rent in Sampaloc, Manila, Metro Manila",Apartment,Sampaloc,Manila,9000,1,1,35
550,1 bedroom Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc,Manila,11000,1,1,35
551,STORAGE/ Office Space / CLINIC Space for rent ,Office Space,Malate,Manila,27000,1,1,45
552,"1-BR Apartment Unit (45 sqm) 1 T&B with Pantry near Nagtahan, Manila @ P10K mo.",Apartment,Sampaloc,Manila,10000,1,1,45
553,Dapitan Lacson Sampaloc Manila Apartment for Rent near UST,Apartment,Sampaloc,Manila,10000,1,1,50
554,Bedspace near UP Manila and PGH,Bedspace,Paco,Manila,5000,1,1,50
555,1-Bedroom 60 sqm Apartment in Retiro Sampaloc Manila,Apartment,Sampaloc,Manila,14000,1,1,60
556,"One Bedroom Apartment for Rent in Malate, Manila, Metro Manila",Apartment,Malate,Manila,28760,1,1,78
557,1 Bedroom Apartment for Rent in Sampaloc Manila,Apartment,Sampaloc,Manila,15000,1,1,700
558,"Studio type apartment for rent Sta. Mesa, Manila",Apartment,Santa Mesa,Manila,9000,1,1,0
559,Bedspace near UBelt and Pureza LRT 2 Station for Rent,Bedspace,Santa Mesa,Manila,3000,1,1,0
560,Female Bedspace in Victoria De Manila near PCU,Bedspace,Malate,Manila,4800,1,1,0
561,"Room for Rent at Padre Campa Street, Sampaloc East, Manila, Metro Manila",Room,Sampaloc,Manila,6500,1,1,0
